panel_version,지표,단위,노선,원문표기,연도,협약,실측,실현율_pct,등급,비고,출처
v2cand_2026-09-16,교통량,대/일,우면산,"우면산터널 (우면산인프라웨이(주), 구 우면산개발)",2004,52866,13886,26.27,A(원문 관측),"실현율 26.3% — 스크립트 표기 '역대 최악급 낙관편향'·초기군 prior 첫 실패. 협약축의 최초협약(R1) 여부 미확정('2003년 협약' 표현=변경협약 시사, 최초 체결일 미확인)",케이스 스크립트 '실제:' 단락 (2004 쌍의 개별 출처 미표기 — 인접 표기는 2015 국감)
v2cand_2026-09-16,교통량,대/일,우면산,"우면산터널 (우면산인프라웨이(주), 구 우면산개발)",2014,42988,27101,63.04,A(원문 관측),실현율 63.0%. 협약축 감소 곡선 — 스크립트가 '기준 재확인 권장' 명시(R1 여부 미확정). 2016.1 재구조화 이전 연도,2015 국감 브리핑
v2cand_2026-09-16,교통량,대/일,거가,거가대교,2011,30335,21007,69.25,A(원문 관측),"변경협약 — 최초협약(2003) 값 미확보(""90%/14.96%"" 언급 vs 확보 조건 77.55%/12.5%는 '11.4 표기, 차수 관계 규명 보류). R1 아님에 유의","협약: 한산신문 ""실시협약상"" 30,335 / 실측: 부산일보 연간(만대) ÷ 일수 산술 환산"
v2cand_2026-09-16,교통량,대/일,거가,거가대교,2012,32142,20799,64.71,B(보간·근사·대용축),변경협약 축 + 협약값은 '12~'14 기하 보간✚(스크립트에 적힌 값 그대로 채택),"협약: '11 30,335(한산신문 ""실시협약상"")·'15 38,000(오마이뉴스) 사이 기하 보간✚(스크립트 명기값) / 실측: 부산일보 연간(만대) ÷ 일수 산술 환산"
v2cand_2026-09-16,교통량,대/일,거가,거가대교,2013,34057,22620,66.42,B(보간·근사·대용축),변경협약 축 + 보간✚ · 2013.11.11 2차 변경실시협약(재구조화: MRG 폐지→비용보전) 연도 — 재구조화 당시 통행량 협약 대비 70%,"협약: '11 30,335(한산신문 ""실시협약상"")·'15 38,000(오마이뉴스) 사이 기하 보간✚(스크립트 명기값) / 실측: 부산일보 연간(만대) ÷ 일수 산술 환산"
v2cand_2026-09-16,교통량,대/일,거가,거가대교,2014,36086,24667,68.36,B(보간·근사·대용축),변경협약 축 + 보간✚,"협약: '11 30,335(한산신문 ""실시협약상"")·'15 38,000(오마이뉴스) 사이 기하 보간✚(스크립트 명기값) / 실측: 부산일보 연간(만대) ÷ 일수 산술 환산"
v2cand_2026-09-16,교통량,대/일,거가,거가대교,2015,38000,25651,67.5,A(원문 관측),협약값 차수 미상(변경협약 가능성) — 사업자 통행량 비공개('22 대법원 협약공개 조례 무효)로 전체 협약축 확보 불가 구조,"협약: 오마이뉴스 38,000(차수 미상) / 실측: 부산일보 연간(만대) ÷ 일수 산술 환산"
v2cand_2026-09-16,교통량,대/일,마창,"마창대교 ((주)마창대교, MKIF 편입)",2008,28806,10000,34.71,B(보간·근사·대용축),"실측은 스크립트가 '~1.0만(근사✚)'로 표기한 근사값. 개통 2008.7.1(유료)로 부분연도. 케이스 채점상 실현율 35.3% — 초기군 하한(37%) 미달, 초기군 실패 2번째(우면산에 이어, 둘 다 도시권). 최초협약 체결일 미확인·협약축의 R1 여부 명시 없으나 스크립트가 '2017 이후 협약축' 확보를 보류 과제로 남긴 점에서 수집 축은 재구조화(2017) 이전 계열로 판단","협약: census 보도(협약축 4점: 2008 28,806·2009 29,946·2015 37,099) / 실측: 스크립트 주석 ""실측 절대값: 2008 ~1.0만(근사✚)"" — 원 출처 미표기(비율 35.3%는 census 보도 ✚)"
v2cand_2026-09-16,교통량,대/일,백양,백양터널,2006,66420,51035,76.84,B(보간·근사·대용축),협약값은 원문 값이 아니라 스크립트가 협약축 2점 사이를 기하 보간(CAGR 2.26%/년)한 값 — 스크립트 기재값 그대로 채택,"협약: 경실련 협약 인용 2점축(2003년 62,108→2023년 97,067) 기하 보간✚ / 실측: 시의회 스니펫✚"
v2cand_2026-09-16,교통량,대/일,백양,백양터널,2016,83190,82034,98.61,B(보간·근사·대용축),"협약값 보간✚ · 실측은 생애 정점(82,034)","협약: 경실련 협약 인용 2점축 기하 보간✚ / 실측: 스크립트 주석 ""'16 정점""(개별 출처 미기재)"
