노선,시설유형,개통연도,군,재구조화_asof,요금이벤트,근거,메타출처
우면산,도시권-정체형,2004,1군(홀드아웃),"2016.1 — MRG 폐지→통행료수입 분할관리방식 전환, 미지급 MRG 238억 소멸, 수익률 향후 5.37%(전기간 8.95%)로 재조정 (서울시 공식 보도)","2011.12.17 통행료 2,000→2,500원 인상 · 2016.1 재구조화 시 2,500원 2033년까지 동결","facilityType: v2-overcoming-design §2 시설유형 4그룹 정의에서 우면산이 ③도시권-정체형 예시로 직접 명기됨('문학 46→52 · 우면산 — 배후 개발 부재 더미로 ②성장형과 구분'). 케이스 스크립트 [관찰]도 동일 근거 — '도시 단거리 유료터널(무료 대체로 존재)은 고속도로 램프업 분포와 다른 모집단'(간선 배제), 2004→2014 실현율 26.3→63.0%이나 원장 특이 라벨 '도시터널 만성 저실현(우면산 동류=문학)' 계열로 배후 개발 성장 서사 부재(성장형 배제), 해상교량 등 아님(특수 배제). openYear: 스크립트 OPEN_YEAR=2004(개통 2004.1.6, 소음 문제로 연기). cohort: verification_ledger.csv V-009 행 '",ETL-케이스
문학,도시권-정체형,2002,1군,"2013~2015 상충(인천in ""2013"" vs 인천투데이 ""2015부터"" vs 원적·만월 변경협약 2014.4 — 병기·규명 과제) — 인천 3터널(만월·원적·문학) 일괄 MRG 폐지→SCS 전환, 수익률 ~12%→4.9%(확정), 문학 재정절감 408억",2022.3.30 협약 종료 → 2022.4.1 무료화·기부채납(20년 완결 3호). 개통 통행료 소형 700원(문화대전 — 위키 600원과 상충 병기). 운영기 중 별도 요금 인하 이벤트 기록 없음,"①facilityType=도시권-정체형: v2-overcoming-design §1 시설유형 그룹 ③ 정의에 ""도시권-정체형(문학 46→52 · 우면산 — 배후 개발 부재 더미로 ②와 구분)""으로 문학이 명시적 예시로 등재. 케이스 스크립트도 docstring 특이 줄 ""도시터널 **정체형**(46→52%, 20년 — 마창·일산·범안로의 성장 회복형과 대조: 도시권 내 이질성)"" 및 관찰 줄 ""배후 개발(신도시·산업)이 없는 순수 시내 연결 터널은 회복 동력 부재""로 동일 판정. LEN_KM=1.5(짧은 시내 연결 터널), 인천시 관할 — 간선 고속도로 축 아님·해상교량 등 특수 아님. ②openYear=2002: 스크립트 OPEN_YEAR=2002, docstring ""개통 2002.3.15·운영 2002",ETL-케이스
거가,특수,2011,1군(홀드아웃),"2013.11.11 2차 변경실시협약 — MRG 77.55%/20년 폐지→비용보전(SCS, 투자비+운영비), 수익률 12.5%→4.7%(변동 4.55%·고정 5.05%, 50:50), 출자자 대우건설 등 8사→KBGK사모신탁","없음 (통행료 10,000원·CPI 인상 가정 — 인하·무료화 이벤트 스크립트에 없음; 다만 협약 CPI 인상 대비 동결 관행 여부는 케이스 스크립트에 미기재)","facilityType=특수: v2-overcoming-design §1 시설유형 그룹 ④'특수·단일목적'에 거가가 명시(""거가 무램프업 60%대 — 배후 산업 경기 연동"") + 스크립트 docstring ""8.2km 해상 사장교+침매터널""(해상교량=특수 판정 기준 부합) + [관찰] ""수요가 특정 산업(조선) 경기에 종속된 단일 목적 노선의 전형""·""실현율 69.3%(11)→65.2%(15) 램프업 없이 60%대 정체"" + OPEX 원단위 33.4억/km/년(7점 중 최고, 최저의 13배 — 해상 특수 밴드 30+) + 원장 V-010 특이란 ""해상 특수·SCS 비용보전 3원 대사"". openYear=2011: 스크립트 OPEN_YEAR=2011 주석 ""유료화 기준""(개통 2010.12.13·유료화 201",ETL-케이스
마창,도시권-성장형,2008,1군(홀드아웃),"2017.1 — MRG(추정통행료수입 75.78% 보장·100% 환수·초과 50:50·30년) → 사용료수입 분할관리(경남도 31.56% : SPC 68.44%, 대안적 MCC), 도 재정부담 2,189억→487억 = 1,702억 절감 (census)","개통(2008) 2,400원 → 2009.9~2010.12 한시 2,000원 인하 → 2012.8 인상 → 현행 2,500원 → 2025.10~ 출퇴근 20% 감면(1,700원)","openYear: 스크립트 docstring ""개통 2008.7.1(유료)"" 및 코드 OPEN_YEAR=2008. facilityType: v2-overcoming-design §1 시설유형 그룹 정의가 ""②도시권-성장형(마창 35→89 · 일산 50→103 · 범안로 2.2배 — 낮은 초기 + 장기 성장 기울기)""로 마창을 명시 배정 — 스크립트도 ""도시 연결 해상교량""·관찰부 ""최강 회복 기울기(연선개발·창원 도시 성장 동인): 도시권은 '낮게 시작, 길게 회복'""으로 실현율 35.3%→89.4% 수렴 패턴이 ② 정의와 정합. 1.7km 해상 사장교라 형태상 ④특수(해상교량) 후보이나, ④의 기준 케이스(거가: 무램프업 60%대·배후 산업 경기 연동)와 달리 도시 연결·배후 도시 성장 동인이 지배하므로 ",ETL-케이스
백양,도시권-정체형,2000,1군,"1차 변경협약 2007.11.19 · 2차 변경협약 2009.11.14 (실시협약 1999.12.20, 부산지법 2016구합20037 판결문으로 확정; 착공 1993.7이라 원협약 별도 존재 가능성✚)","2025 무료화(2025.1.9 만료→1.10 무료 전환, 25년 생애주기 완결 1호) — 무료화 후 통행량 +8.4~9.2%(시 예측 41% 증가의 1/4). 데이터 연도(~2023) 이후 이벤트라 rows에는 영향 없음","facilityType: 스크립트 특이 행(17행) ""도시터널 시설유형 그룹"" 명기 + 부산 기성 시가지 2.3km 도시터널(LEN_KM=2.3) + 협약 종점(97,067) 끝내 미달(74~77%) + 2016 정점(82,034) 이후 수요 감소 + 무료화 탄력 +8~9%뿐(도시터널은 요금 탄력 낮음 — 인천대교 반대편 실증, v2-overcoming-design §1 요금 이벤트 공변량에서 백양을 이 위치로 인용) → v2-overcoming-design §1 그룹③ 도시권-정체형(기성 시가지 터널·배후 개발 부재) 기준 부합. 단 2006→2016 절대 수요 성장(51,035→82,034)은 성장형 요소로 병기해 둠(배후 신도시 개발 더미는 부재). openYear: 스크립트 OPEN_YEAR=2000",ETL-케이스
미시령,간선,2006,1군,없음(재구조화 미성사 — 유료도로법 소급 적용 분쟁 헌재 계류 '25 · 국민연금 대주주 배임 우려로 재협상 봉쇄 · 강원도 MCC 전환 검토 단계),없음,"facilityType=간선: v2-overcoming-design §1 4그룹 정의 기준 — ②도시권-성장형(배후 개발 진행 도시부)·③도시권-정체형(기성 시가지 터널: 문학·우면산)·④특수(거가 해상) 어디에도 해당 없음. 미시령은 인제~속초 축 지역 간선 통과 교통 노선(연장 15.7km 중 터널 3.7km, 스크립트 LEN_KM 주석)으로 기성 시가지 터널이 아니며, v2 문서 §0 실패 분해표가 미시령을 '경쟁 회랑' 유형(인천공항·대구부산과 동렬)으로, §1 공변량 항이 '경쟁 회랑: 계획 노선 포함(미시령-서울양양)'으로 분류 — 즉 간선축 회랑 경쟁 케이스. 단 §4는 '소형 터널 사업 보전 배율 상위'(우면산·문학·미시령·범안로)로도 묶으므로 보전 배율 경보 축에서는 소형 터널군 병기 필요.",ETL-케이스
범안로,도시권-성장형,2002,1군,"2012.6 의결·2012.7 시행(제3차 변경) — MRG(최초 90%→변경 79.8% 추정, 상충 병기)→비용보전(SCS) 전환·보장 이자율 4.8% 조정",2026.9.1 전면 무료화 확정(2026.8.31 협약 만료 — 24년 완결 2호·공단 이관),"route/openYear: backtest_case_beoman.py 3행(케이스 #15 — 범안로, 대구동부순환도로(주))·30행 OPEN_YEAR=2002(유료 개시는 2001.9.24 삼덕/2002.9.1 고모 이원 — 7~8행). facilityType=도시권-성장형: ①스크립트 20행 '도시고속화도로(도시권 그룹 4호)'·14~15행 '개통 2002년 22,715→2016년 4만+→2025년 50,643, 25년간 2.2배 성장 — 도시권 성장 회복 3호'·80~81행 관찰 '마창·일산과 동일 패턴, 낮은 초기+장기 성장 기울기' ②v2-overcoming-design.md §1 시설유형 그룹 정의에서 범안로가 도시권-성장형(②) 예시로 명시적 등재('마창 35→89 · 일산 50→103 · 범안",ETL-케이스
인천공항,간선,2000,선행,없음(공식 사업재구조화 아님) — 2015 자금재조달로 협약수익률 9.7→9.36%(판례)·MRG 90%(1차 변경협약 2000.12.27)→80%(2004.4.21)·MRG 20년 2020.12 종료. 패널 비고는 'NABO 수입패널 제외 표본(재구조화6)'으로 분류,"2023.10 영종대교 구간 통행료 6,600→3,200원 인하(위키 census 특이사항 — 실현율 63.7%('22)→99.2%('24) 반등과 정합) · 2025.12 인천대교와 통합채산제 편입(위키 census)","개통 2000.11.21=위키 census §인천국제공항고속도로(국내 최초 BTO; 스크립트 협약·실측 축은 2001 시작=운영 1년차) · 군=verification_ledger V-001 '선행' · 재구조화·MRG=backtest_case_incheon.py 독스트링·PLAN_RETURN/PLAN_RETURN_2015·MRG_RATE 상수 + realization_panel.csv 비고 '재구조화6(NABO 수입패널 제외 표본)' · 요금이벤트=ppp-road-census-backtest-2026.md 특이사항 · 시설유형=고속도로 축(간선; v2-overcoming-design §1은 인천공항을 초기군 고속도로 램프업 모집단·경쟁 회랑(영종대교-인천대교) 공변량으로 취급, 별도 그룹 아님)",meta-agent1
천안-논산,간선,2002,1군,"2019.12 — 2019.12.18 변경협약(요금 -48%, 기간 연장 없음)·2019.12.23 요금 반값 시행, 스크립트 RESTRUCT=2020(2020~ 변경체제)","2019.12.23 통행료 반값 시행(-48%; 위키 census: 9,400→4,900원, 도로공사 선투자 방식)","개통=backtest_case_cheonan.py 'OPEN_YEAR=2003 # 개통 2002.12.24 → 1년차=2003'(위키 census는 2002.12.23 — 일자 불일치, 연도 동일) · 군=ledger V-003 1군 · 재구조화·요금=스크립트 독스트링·RESTRUCT 상수+위키 census §천안-논산 특이사항 · 패널 비고 '재구조화6' · 시설유형=고속도로 축(간선)",meta-agent1
대구-부산,간선,2006,1군,"2020.12 — 3차 변경협약 2020.12.22(1종 10,500→5,000, 도공 선투자, 운영기간 30년 유지 — KIS 원문 확정)·2020.12.24 요금 반값 시행, 스크립트 RESTRUCT=2021(2021~ 변경체제). 선행 이벤트: MRG 90%→77%('08.5 변경협약)","2020.12.24 요금 반값 시행(1종 10,500→5,000원; 위키 census -52.4%)",개통 2006(2.12)=위키 census §대구-부산고속도로(스크립트에 개통연도 없음; MRG 보장만기 2026.2=20년 보장 역산과 정합) · 군=ledger V-004 1군 · 재구조화·요금=backtest_case_daegu.py 독스트링·RESTRUCT 상수 · 패널 비고 '재구조화6' · 시설유형=고속도로 축(간선; v2 설계상 경쟁 회랑(경부축) 하단 공변량 케이스),meta-agent1
