V,노선,군,채점개년,협약_MAE_pct,Forenode_MAE_pct,우위,밴드적중,밴드전체,특이
V-001,인천공항고속도로,선행,12,43.0,34.0,B,3,12,연차별 prior 소급 시 6/12 — 첫 캘리브레이션 실패
V-002,광주-원주(제2영동),선행,6,20.9,3.2,B,6,6,2기 노선 정확도 실증
V-003,천안-논산,1군,11,40.2,18.8,B,10,11,재구조화 구간 분리 첫 적용
V-004,대구-부산,1군,7,47.0,36.0,B,1,7,극단 하위 — 단일 prior 밴드 밖(공변량 근거)
V-005,수도권1순환 퇴계원-일산,1군,4,1.1,25.4,A,4,4,재구조화 직후 협약축 — 첫 A 우위
V-006,서울-춘천,1군,8,3.3,23.5,A,8,8,정확 협약축 — A 우위 2연속
V-007,부산-울산,1군,4,34.4,19.9,B,4,4,BTO-a 원형·협약 원문 확보
V-008,인천대교,1군,5,11.7,19.0,A,4,5,'24 요금 63% 인하 → 상단 밴드 실패 첫 사례
V-009,우면산터널,1군(홀드아웃),2,55.3,37.4,B,1,2,도시터널 — 초기군 prior 첫 실패(26.3%)
V-010,거가대교,1군(홀드아웃),5,32.8,19.5,B,5,5,해상 특수·SCS 비용보전 3원 대사
V-011,마창대교,1군(홀드아웃),5,33.8,15.4,B,4,5,최강 회복 기울기(35→89%)
V-012,미시령터널,1군,2,47.4,35.4,B,1,2,경쟁도로(서울양양) 개통 붕괴 −62%
V-013,일산대교,1군,2,17.1,21.0,A,2,2,A 우위 3번째
V-014,백양터널,1군,4,16.3,8.4,B,4,4,25년 완결 1호 — B 한 자릿수 MAE 2번째
V-015,범안로,1군,0,,,채점불가,,,협약축 절대치 전무 — 정직 0점 처리
V-016,문학터널,1군,2,50.9,26.1,B,1,2,도시터널 만성 저실현(우면산 동류)
V-017,서수원-평택,2군,5,13.2,42.1,A,0,5,실현율 107~117% — 밴드 0/5 역대 최악·양방향 prior 근거
V-018,용인-서울,2군,4,16.4,2.8,B,4,4,B 역대 최고 정확(2.8%)·수입 prior 첫 승리
V-019,서수원-의왕,2군,1,0.2,82.2,A,0,1,개통 1년차 100.2% — 초기군 상단 실패·환수 44억 실집행
V-020,인천-김포,2군,3,24.2,7.1,B,3,3,수입 prior 압승 최고(A 37.2 vs B 3.6%)
V-021,안양-성남,2군,3,37.2,23.7,B,2,3,'23 동반 급락 이벤트 — 다년 블록 필요 근거
